Wall time,Step,Value
1682509308.2994957,5,0.5378960371017456
1682509326.7654884,6,0.516970694065094
1682509401.9224339,10,0.48798108100891113
1682509420.7999656,11,0.4945303797721863
1682509458.1654367,13,0.45148664712905884
1682509476.8194792,14,0.4621508717536926
1682509495.7718751,15,0.46189919114112854
1682509533.51157,17,0.4603997468948364
1682509552.0454984,18,0.44076353311538696
1682509570.886189,19,0.43126794695854187
1682509589.5952458,20,0.41999486088752747
1682509664.762858,24,0.41022077202796936
1682509832.6719725,33,0.3352454900741577
1682509851.4120622,34,0.3282017409801483
1682509888.7925026,36,0.3082576394081116
1682509945.0175352,39,0.2879570424556732
1682509963.7058911,40,0.2996182441711426
1682510001.5266776,42,0.2810344398021698
1682510038.9740732,44,0.27871036529541016
1682510057.953243,45,0.2779417932033539
1682510095.6620424,47,0.2775779664516449
1682510133.0976844,49,0.28042805194854736
1682510151.9763622,50,0.2522357702255249
1682510208.4342048,53,0.2377118319272995
1682510227.22268,54,0.23694469034671783
1682510246.0221982,55,0.2365078628063202
1682510264.5354364,56,0.24596282839775085
1682510283.6202009,57,0.2542378008365631
1682510339.6149848,60,0.21760953962802887
1682510358.8200536,61,0.21282076835632324
1682510396.3998697,63,0.19962309300899506
1682510434.2659001,65,0.20458757877349854
1682510453.206575,66,0.20319293439388275
1682510472.2581174,67,0.2211049348115921
1682510490.9080107,68,0.2147640883922577
1682510547.920109,71,0.20976637303829193
1682510566.823503,72,0.18837673962116241
1682510585.4959798,73,0.1785534918308258
1682510604.3638875,74,0.17705512046813965
1682510641.9223826,76,0.17176325619220734
1682510698.763464,79,0.17068012058734894
1682510793.3452768,84,0.16296352446079254
1682510812.1558776,85,0.15183503925800323
1682510831.0092607,86,0.15190882980823517
1682510849.899647,87,0.16067469120025635
1682510868.8658068,88,0.15038029849529266
1682510887.8918567,89,0.14178146421909332
1682510982.358152,94,0.14549900591373444
1682511133.6962068,102,0.11591969430446625
1682511190.3576736,105,0.132142573595047
1682511208.940674,106,0.13283683359622955
1682511341.467103,113,0.12402103841304779
1682511398.2797384,116,0.11933784186840057
1682511436.1627133,118,0.10803060978651047
1682511454.7182188,119,0.1072181835770607
1682511473.759866,120,0.10279347747564316
1682511549.6134362,124,0.10633456707000732
1682511568.6132858,125,0.12909413874149323
1682511588.0585506,126,0.1412394493818283
1682511645.0278249,129,0.11888959258794785
1682511664.0946066,130,0.11127786338329315
1682511720.8856854,133,0.10500701516866684
