Wall time,Step,Value
1678122485.2105882,21,0.5253327488899231
1678122513.2560992,22,0.5149571299552917
1678122625.76297,26,0.49778151512145996
1678122654.0851395,27,0.48961952328681946
1678122710.271704,29,0.482439786195755
1678122738.4566965,30,0.4925667643547058
1678122766.2575276,31,0.48403286933898926
1678122822.3700705,33,0.4778038263320923
1678122850.4595687,34,0.4774477779865265
1678122878.7030709,35,0.4767874479293823
1678122906.9573193,36,0.4815073311328888
1678123019.926923,40,0.4586638808250427
1678123273.8533514,49,0.4449997842311859
1678123302.372401,50,0.4491506516933441
1678123358.237056,52,0.44035768508911133
1678123443.0245557,55,0.43704211711883545
1678123470.9088156,56,0.4350479245185852
1678123527.7396107,58,0.4147852063179016
1678123584.0864177,60,0.41716811060905457
1678123612.0935102,61,0.4217267334461212
1678123668.7082841,63,0.4225655794143677
1678123724.9027689,65,0.4198733866214752
1678123753.1722894,66,0.39923572540283203
1678123837.6895518,69,0.3958336412906647
1678123865.8248794,70,0.3895101249217987
1678123894.1366243,71,0.39106595516204834
1678123922.567443,72,0.3843470811843872
1678123951.0196035,73,0.3755115866661072
1678124035.7718282,76,0.36995428800582886
1678124064.1899347,77,0.36976757645606995
1678124120.5202692,79,0.3621731996536255
1678124176.9437547,81,0.3582300543785095
1678124205.3146331,82,0.35995957255363464
1678124233.661361,83,0.34624236822128296
1678124261.8095536,84,0.3590509593486786
1678124346.4792688,87,0.34474074840545654
1678124374.2252877,88,0.348163902759552
1678124402.5197892,89,0.35724204778671265
1678124430.9067783,90,0.3452664315700531
1678124487.755266,92,0.32941940426826477
1678124572.6749294,95,0.34235113859176636
1678124714.7625551,100,0.3242402672767639
1678124743.192966,101,0.3205671012401581
1678124771.44292,102,0.3319796919822693
1678124799.568721,103,0.32644203305244446
1678124827.797399,104,0.31777095794677734
1678124856.404331,105,0.3138023614883423
1678124998.1762524,110,0.30963030457496643
1678125224.4110916,118,0.2915654182434082
1678125309.5668545,121,0.288991242647171
1678125337.8883417,122,0.29376736283302307
1678125536.8420472,129,0.28332147002220154
1678125621.8130777,132,0.2943567931652069
1678125678.3661664,134,0.2767975926399231
1678125706.76546,135,0.2808972895145416
1678125735.0913272,136,0.2670312225818634
1678125848.4057512,140,0.26061826944351196
1678125876.5079703,141,0.2615031599998474
1678125905.1081884,142,0.25459322333335876
1678125990.1082435,145,0.26563212275505066
1678126017.9901762,146,0.27432864904403687
1678126103.7359238,149,0.25701025128364563
1678126217.504289,153,0.2504830062389374
1678126274.4914129,155,0.24910125136375427
1678126330.9848316,157,0.24558746814727783
1678126359.6381617,158,0.24193693697452545
1678126388.206254,159,0.25130221247673035
1678126416.71336,160,0.24421994388103485
1678126530.6239371,164,0.24536792933940887
1678126587.4771452,166,0.24322375655174255
1678126672.722839,169,0.23572921752929688
1678126701.1595256,170,0.22713671624660492
1678126729.6643121,171,0.23213930428028107
1678126786.5693133,173,0.2282293438911438
1678126814.7891555,174,0.23234350979328156
1678126843.2329001,175,0.22534061968326569
1678126928.4660828,178,0.23571740090847015
1678126985.6776338,180,0.22478772699832916
1678127014.0441587,181,0.23067288100719452
1678127070.7293174,183,0.22344942390918732
1678127099.249807,184,0.2199103981256485
1678127184.5376792,187,0.21887394785881042
1678127325.7928202,192,0.21965335309505463
1678127354.1457677,193,0.21401919424533844
1678127382.5362859,194,0.20986874401569366
1678127439.240377,196,0.20778696238994598
1678127467.6898122,197,0.2050691545009613
1678127524.4916296,199,0.21775533258914948
1678127581.1478443,201,0.20769833028316498
1678127609.6344967,202,0.18829773366451263
1678127638.041136,203,0.17291739583015442
1678127666.4160402,204,0.17179453372955322
1678127722.705089,206,0.16225583851337433
1678127751.023298,207,0.16426372528076172
1678127949.7123315,214,0.15685366094112396
1678128062.9808576,218,0.1552804559469223
1678128176.4544253,222,0.15741980075836182
1678128204.8143392,223,0.15573185682296753
1678128233.2856953,224,0.155122771859169
1678128346.8840308,228,0.15207892656326294
1678128432.046349,231,0.15027183294296265
1678128517.1126933,234,0.14951921999454498
1678128545.6541328,235,0.14838773012161255
1678128630.671191,238,0.1476466804742813
1678128659.1794512,239,0.14586777985095978
1678128716.0400097,241,0.14927363395690918
1678128744.164476,242,0.14954215288162231
1678128772.7367127,243,0.14651814103126526
1678128829.7021697,245,0.1463676542043686
1678128858.3112223,246,0.14536519348621368
1678128886.8685758,247,0.14280028641223907
1678128915.1817005,248,0.1424543708562851
1678128943.269382,249,0.14214731752872467
1678128971.4185326,250,0.14268510043621063
1678129056.3701146,253,0.1430177539587021
1678129141.2337751,256,0.14019028842449188
1678129283.1397305,261,0.13854338228702545
1678129340.0679615,263,0.13692960143089294
1678129396.5262964,265,0.13614043593406677
1678129424.9764824,266,0.1370626986026764
1678129567.1189923,271,0.13443484902381897
1678129651.8937669,274,0.13303501904010773
1678129680.3366108,275,0.13041718304157257
1678129708.9714375,276,0.13190415501594543
1678129737.4881392,277,0.13228881359100342
1678129794.1732595,279,0.13033606112003326
1678129907.212157,283,0.13028867542743683
1678129963.8238363,285,0.13181857764720917
1678130020.2604532,287,0.12872786819934845
1678130077.0450647,289,0.12569640576839447
1678130218.7373343,294,0.12667717039585114
1678130275.8194232,296,0.12622737884521484
1678130389.7534826,300,0.12522384524345398
1678130531.9468088,305,0.12548451125621796
1678130588.6004303,307,0.1227061003446579
1678130616.9732783,308,0.12378522753715515
1678130702.3146315,311,0.1227923333644867
1678130758.764567,313,0.1214517280459404
1678130787.3824027,314,0.12031307071447372
1678130815.6905649,315,0.1226581409573555
1678130872.3027923,317,0.1231759563088417
1678130900.7299263,318,0.1234871968626976
1678130928.9961932,319,0.12283068895339966
1678131042.9541495,323,0.11788484454154968
1678131071.3896317,324,0.12012454122304916
1678131128.1387253,326,0.11661526560783386
1678131213.3951008,329,0.11758702248334885
1678131326.8094893,333,0.11829271912574768
1678131355.307205,334,0.11837739497423172
1678131383.5941691,335,0.1153053343296051
1678131411.8500793,336,0.11517174541950226
1678131468.6046288,338,0.1175311878323555
1678131554.1914334,341,0.11574114114046097
1678131582.6710205,342,0.11562789976596832
1678131610.8093994,343,0.11473709344863892
1678131695.9191923,346,0.11268226057291031
1678131724.0353763,347,0.11603692173957825
1678131780.58198,349,0.1158706545829773
1678131950.3729599,355,0.11157914996147156
1678132006.832845,357,0.11253003776073456
1678132092.0345914,360,0.11150280386209488
1678132120.1294909,361,0.11333960294723511
1678132176.9252388,363,0.11145378649234772
1678132205.3173482,364,0.11131897568702698
1678132346.859523,369,0.11179738491773605
1678132375.1456206,370,0.11061694473028183
1678132431.8765764,372,0.108345627784729
1678132488.7646556,374,0.10939934849739075
1678132516.9188967,375,0.11120281368494034
1678132545.282469,376,0.10874833911657333
1678132630.474729,379,0.10997407883405685
1678132658.7492323,380,0.10938524454832077
1678132743.8932652,383,0.10853131115436554
1678132772.2933497,384,0.11153057962656021
1678132829.0237079,386,0.10974381119012833
1678132857.60078,387,0.1078498587012291
1678132914.0931816,389,0.10687166452407837
1678133027.310581,393,0.10681425034999847
1678133055.814447,394,0.10992942005395889
1678133084.0708132,395,0.10904179513454437
1678133140.2180667,397,0.10777117311954498
1678133168.5324538,398,0.1043706163764
1678133253.5435789,401,0.10486700385808945
1678133281.9188414,402,0.10854379832744598
1678133310.3495085,403,0.10859991610050201
1678133338.6212094,404,0.10316508263349533
1678133395.2387109,406,0.10162920504808426
1678133423.597154,407,0.10382001847028732
1678133451.8988712,408,0.1030767410993576
1678133480.34251,409,0.10354820638895035
1678133734.8199513,418,0.10413873940706253
1678133763.3574471,419,0.10440006107091904
1678133820.0642846,421,0.1057034507393837
1678133904.9720812,424,0.10207899659872055
1678134103.4521086,431,0.1000353991985321
1678134131.8198574,432,0.10276975482702255
1678134245.1519427,436,0.10257197916507721
1678134273.4021463,437,0.10112732648849487
1678134301.7335498,438,0.09925737231969833
1678134358.5873375,440,0.10299443453550339
1678134415.2820234,442,0.09807322174310684
1678134528.6320295,446,0.10091964900493622
1678134784.0471528,455,0.10184649378061295
1678134812.2696028,456,0.09899973124265671
1678134840.4276235,457,0.09688872843980789
1678134868.6709762,458,0.09736699610948563
1678134925.3270552,460,0.09764618426561356
1678134953.6475506,461,0.09924996644258499
1678135039.0351434,464,0.1007986068725586
1678135123.8339548,467,0.1035384014248848
1678135322.5300283,474,0.09942295402288437
1678135351.1348684,475,0.09701507538557053
1678135379.5663168,476,0.09656272828578949
1678135407.950356,477,0.09700183570384979
1678135464.8749247,479,0.0985594168305397
1678135493.233091,480,0.09863386303186417
1678135521.6768978,481,0.09638664871454239
1678135578.4592805,483,0.09841360151767731
1678135606.9332058,484,0.09675680100917816
1678135635.1334007,485,0.09667845070362091
1678135691.8712082,487,0.09602722525596619
1678135748.5824635,489,0.09727593511343002
1678135776.812617,490,0.09926773607730865
1678135890.5395129,494,0.09562386572360992
1678136089.8425152,501,0.09605642408132553
1678136174.89968,504,0.09564173966646194
