Wall time,Step,Value
1681220176.9510021,1,0.428766131401062
1681220309.7824597,3,0.34821248054504395
1681220442.296506,5,0.30865779519081116
1681220509.26461,6,0.29154831171035767
1681220641.9614098,8,0.29166993498802185
1681220774.6378942,10,0.2503688931465149
1681220841.182541,11,0.24700643122196198
1681220907.4690886,12,0.2158980369567871
1681220974.1004913,13,0.20419330894947052
1681221040.7067077,14,0.18940454721450806
1681221107.3529797,15,0.19131839275360107
1681221174.0735562,16,0.18396586179733276
1681221241.1366878,17,0.17329822480678558
1681221308.310729,18,0.16778695583343506
1681221375.5948215,19,0.16208864748477936
1681221442.5116575,20,0.15319955348968506
1681221509.3656266,21,0.16919973492622375
1681221576.7043412,22,0.16096839308738708
1681221710.3868306,24,0.14413554966449738
1681221777.7880847,25,0.1412607878446579
1681221912.059244,27,0.14137274026870728
1681222112.9729059,30,0.15408368408679962
1681222179.5093443,31,0.13445372879505157
1681222246.3130956,32,0.1275491714477539
1681222313.0762904,33,0.1227688118815422
1681222380.5261664,34,0.12243571132421494
1681222514.9207103,36,0.12815777957439423
1681222715.724732,39,0.11745870113372803
1681222782.6369588,40,0.12245665490627289
1681222917.2546954,42,0.11650653183460236
1681222984.4944725,43,0.11598306149244308
1681223052.262052,44,0.11378245800733566
1681223119.2006278,45,0.10885441303253174
1681223186.4951913,46,0.11376670747995377
1681223253.780243,47,0.11336855590343475
1681223388.0040915,49,0.10532646626234055
1681223454.6512895,50,0.10249550640583038
1681223655.835631,53,0.11794073134660721
1681223723.0673957,54,0.1030295267701149
1681223790.2893214,55,0.10486388951539993
1681223857.4011886,56,0.09659028798341751
1681223925.0121253,57,0.09467080235481262
1681224126.41138,60,0.09878446161746979
1681224193.4444916,61,0.09539701789617538
1681224260.5526314,62,0.09490852802991867
1681224327.7032967,63,0.09584935009479523
1681224394.7979507,64,0.09760629385709763
1681224462.2683942,65,0.09524642676115036
1681224529.7408054,66,0.0894295796751976
1681224597.0914388,67,0.09195689111948013
1681224664.6956403,68,0.09034986048936844
1681224731.9260614,69,0.09248042106628418
1681224866.1779993,71,0.08270592987537384
1681224933.342621,72,0.08329971879720688
1681225000.6636631,73,0.08604941517114639
1681225067.8911028,74,0.08897595852613449
1681225202.3292665,76,0.08813169598579407
1681225269.6769233,77,0.08448861539363861
1681225337.0994637,78,0.08329477906227112
1681225404.6883326,79,0.08067876845598221
1681225538.6506233,81,0.0819217637181282
1681225606.125595,82,0.08003072440624237
1681225740.9533832,84,0.08012060075998306
1681225807.8179402,85,0.08665713667869568
1681225874.9455075,86,0.08495267480611801
1681225941.7047243,87,0.08076057583093643
1681226008.7670085,88,0.07399013638496399
1681226076.0787852,89,0.07386735081672668
1681226211.1856816,91,0.0779971033334732
1681226278.3359036,92,0.0988248735666275
1681226345.3700118,93,0.07916206866502762
1681226412.5817163,94,0.08370015025138855
1681226546.6257603,96,0.07118888199329376
1681226748.5363555,99,0.07400722056627274
1681226815.805245,100,0.07235319167375565
1681226883.831855,101,0.07307176291942596
1681226952.5756006,102,0.07278969883918762
1681227021.0682468,103,0.07717763632535934
1681227088.9708686,104,0.07458766549825668
1681227156.1158097,105,0.07227854430675507
1681227223.4020054,106,0.07023676484823227
1681227425.913618,109,0.07295332103967667
1681227493.630221,110,0.08668602257966995
1681227696.6670437,113,0.06448908150196075
1681227901.606478,116,0.06546387076377869
1681227969.1372516,117,0.06427911669015884
1681228036.4883864,118,0.06681828200817108
1681228103.9756951,119,0.06609401106834412
1681228171.6492188,120,0.06613843142986298
1681228240.0593474,121,0.07249054312705994
1681228376.3325117,123,0.06595566868782043
1681228443.9236045,124,0.06449437141418457
1681228511.1830294,125,0.062245164066553116
