Kachelname_img,Aktualitaet_img,coords,Kachelname_pc,Aktualitaet_pc,diff
dop10rgbi_32_403_5693_1_nw_2021,2021-03-01,"(403, 5693)",3dm_32_403_5693_1_nw,2021-02-01,28 days
dop10rgbi_32_402_5692_1_nw_2021,2021-03-01,"(402, 5692)",3dm_32_402_5692_1_nw,2021-02-01,28 days
dop10rgbi_32_403_5692_1_nw_2021,2021-03-01,"(403, 5692)",3dm_32_403_5692_1_nw,2021-02-01,28 days
dop10rgbi_32_402_5693_1_nw_2021,2021-03-01,"(402, 5693)",3dm_32_402_5693_1_nw,2021-02-01,28 days
dop10rgbi_32_341_5688_1_nw_2022,2022-05-01,"(341, 5688)",3dm_32_341_5688_1_nw,2022-02-01,89 days
dop10rgbi_32_341_5689_1_nw_2022,2022-05-01,"(341, 5689)",3dm_32_341_5689_1_nw,2022-02-01,89 days
dop10rgbi_32_340_5689_1_nw_2022,2022-05-01,"(340, 5689)",3dm_32_340_5689_1_nw,2022-02-01,89 days
dop10rgbi_32_340_5688_1_nw_2022,2022-05-01,"(340, 5688)",3dm_32_340_5688_1_nw,2022-02-01,89 days
dop10rgbi_32_433_5628_1_nw_2021,2021-06-01,"(433, 5628)",3dm_32_433_5628_1_nw,2021-03-01,92 days
dop10rgbi_32_438_5631_1_nw_2021,2021-06-01,"(438, 5631)",3dm_32_438_5631_1_nw,2021-03-01,92 days
dop10rgbi_32_424_5675_1_nw_2021,2021-06-01,"(424, 5675)",3dm_32_424_5675_1_nw,2021-03-01,92 days
dop10rgbi_32_438_5627_1_nw_2021,2021-06-01,"(438, 5627)",3dm_32_438_5627_1_nw,2021-03-01,92 days
dop10rgbi_32_461_5695_1_nw_2021,2021-06-01,"(461, 5695)",3dm_32_461_5695_1_nw,2021-03-01,92 days
dop10rgbi_32_433_5632_1_nw_2021,2021-06-01,"(433, 5632)",3dm_32_433_5632_1_nw,2021-03-01,92 days
dop10rgbi_32_464_5653_1_nw_2021,2021-06-01,"(464, 5653)",3dm_32_464_5653_1_nw,2021-03-01,92 days
dop10rgbi_32_430_5674_1_nw_2021,2021-06-01,"(430, 5674)",3dm_32_430_5674_1_nw,2021-03-01,92 days
dop10rgbi_32_460_5655_1_nw_2021,2021-06-01,"(460, 5655)",3dm_32_460_5655_1_nw,2021-03-01,92 days
dop10rgbi_32_466_5694_1_nw_2021,2021-06-01,"(466, 5694)",3dm_32_466_5694_1_nw,2021-03-01,92 days
dop10rgbi_32_464_5649_1_nw_2021,2021-06-01,"(464, 5649)",3dm_32_464_5649_1_nw,2021-03-01,92 days
dop10rgbi_32_459_5655_1_nw_2021,2021-06-01,"(459, 5655)",3dm_32_459_5655_1_nw,2021-03-01,92 days
dop10rgbi_32_428_5634_1_nw_2021,2021-06-01,"(428, 5634)",3dm_32_428_5634_1_nw,2021-03-01,92 days
dop10rgbi_32_435_5673_1_nw_2021,2021-06-01,"(435, 5673)",3dm_32_435_5673_1_nw,2021-03-01,92 days
dop10rgbi_32_427_5633_1_nw_2021,2021-06-01,"(427, 5633)",3dm_32_427_5633_1_nw,2021-03-01,92 days
dop10rgbi_32_458_5654_1_nw_2021,2021-06-01,"(458, 5654)",3dm_32_458_5654_1_nw,2021-03-01,92 days
dop10rgbi_32_472_5693_1_nw_2021,2021-06-01,"(472, 5693)",3dm_32_472_5693_1_nw,2021-03-01,92 days
dop10rgbi_32_441_5672_1_nw_2021,2021-06-01,"(441, 5672)",3dm_32_441_5672_1_nw,2021-03-01,92 days
dop10rgbi_32_446_5659_1_nw_2021,2021-06-01,"(446, 5659)",3dm_32_446_5659_1_nw,2021-03-01,92 days
dop10rgbi_32_422_5634_1_nw_2021,2021-06-01,"(422, 5634)",3dm_32_422_5634_1_nw,2021-03-01,92 days
dop10rgbi_32_429_5674_1_nw_2021,2021-06-01,"(429, 5674)",3dm_32_429_5674_1_nw,2021-03-01,92 days
dop10rgbi_32_452_5658_1_nw_2021,2021-06-01,"(452, 5658)",3dm_32_452_5658_1_nw,2021-03-01,92 days
dop10rgbi_32_464_5650_1_nw_2021,2021-06-01,"(464, 5650)",3dm_32_464_5650_1_nw,2021-03-01,92 days
dop10rgbi_32_444_5630_1_nw_2021,2021-06-01,"(444, 5630)",3dm_32_444_5630_1_nw,2021-03-01,92 days
dop10rgbi_32_448_5657_1_nw_2021,2021-06-01,"(448, 5657)",3dm_32_448_5657_1_nw,2021-03-01,92 days
dop10rgbi_32_425_5657_1_nw_2021,2021-06-01,"(425, 5657)",3dm_32_425_5657_1_nw,2021-03-01,92 days
dop10rgbi_32_462_5677_1_nw_2021,2021-06-01,"(462, 5677)",3dm_32_462_5677_1_nw,2021-03-01,92 days
dop10rgbi_32_431_5656_1_nw_2021,2021-06-01,"(431, 5656)",3dm_32_431_5656_1_nw,2021-03-01,92 days
dop10rgbi_32_421_5652_1_nw_2021,2021-06-01,"(421, 5652)",3dm_32_421_5652_1_nw,2021-03-01,92 days
dop10rgbi_32_452_5673_1_nw_2021,2021-06-01,"(452, 5673)",3dm_32_452_5673_1_nw,2021-03-01,92 days
dop10rgbi_32_483_5694_1_nw_2021,2021-06-01,"(483, 5694)",3dm_32_483_5694_1_nw,2021-03-01,92 days
dop10rgbi_32_467_5676_1_nw_2021,2021-06-01,"(467, 5676)",3dm_32_467_5676_1_nw,2021-03-01,92 days
dop10rgbi_32_436_5655_1_nw_2021,2021-06-01,"(436, 5655)",3dm_32_436_5655_1_nw,2021-03-01,92 days
dop10rgbi_32_473_5675_1_nw_2021,2021-06-01,"(473, 5675)",3dm_32_473_5675_1_nw,2021-03-01,92 days
dop10rgbi_32_446_5674_1_nw_2021,2021-06-01,"(446, 5674)",3dm_32_446_5674_1_nw,2021-03-01,92 days
dop10rgbi_32_477_5695_1_nw_2021,2021-06-01,"(477, 5695)",3dm_32_477_5695_1_nw,2021-03-01,92 days
dop10rgbi_32_442_5654_1_nw_2021,2021-06-01,"(442, 5654)",3dm_32_442_5654_1_nw,2021-03-01,92 days
dop10rgbi_32_426_5636_1_nw_2021,2021-06-01,"(426, 5636)",3dm_32_426_5636_1_nw,2021-03-01,92 days
dop10rgbi_32_457_5657_1_nw_2021,2021-06-01,"(457, 5657)",3dm_32_457_5657_1_nw,2021-03-01,92 days
dop10rgbi_32_478_5674_1_nw_2021,2021-06-01,"(478, 5674)",3dm_32_478_5674_1_nw,2021-03-01,92 days
dop10rgbi_32_447_5653_1_nw_2021,2021-06-01,"(447, 5653)",3dm_32_447_5653_1_nw,2021-03-01,92 days
dop10rgbi_32_441_5675_1_nw_2021,2021-06-01,"(441, 5675)",3dm_32_441_5675_1_nw,2021-03-01,92 days
dop10rgbi_32_454_5656_1_nw_2021,2021-06-01,"(454, 5656)",3dm_32_454_5656_1_nw,2021-03-01,92 days
dop10rgbi_32_453_5652_1_nw_2021,2021-06-01,"(453, 5652)",3dm_32_453_5652_1_nw,2021-03-01,92 days
dop10rgbi_32_423_5635_1_nw_2021,2021-06-01,"(423, 5635)",3dm_32_423_5635_1_nw,2021-03-01,92 days
dop10rgbi_32_458_5651_1_nw_2021,2021-06-01,"(458, 5651)",3dm_32_458_5651_1_nw,2021-03-01,92 days
dop10rgbi_32_427_5630_1_nw_2021,2021-06-01,"(427, 5630)",3dm_32_427_5630_1_nw,2021-03-01,92 days
dop10rgbi_32_427_5629_1_nw_2021,2021-06-01,"(427, 5629)",3dm_32_427_5629_1_nw,2021-03-01,92 days
dop10rgbi_32_421_5637_1_nw_2021,2021-06-01,"(421, 5637)",3dm_32_421_5637_1_nw,2021-03-01,92 days
dop10rgbi_32_453_5655_1_nw_2021,2021-06-01,"(453, 5655)",3dm_32_453_5655_1_nw,2021-03-01,92 days
dop10rgbi_32_446_5660_1_nw_2021,2021-06-01,"(446, 5660)",3dm_32_446_5660_1_nw,2021-03-01,92 days
dop10rgbi_32_458_5656_1_nw_2021,2021-06-01,"(458, 5656)",3dm_32_458_5656_1_nw,2021-03-01,92 days
dop10rgbi_32_447_5656_1_nw_2021,2021-06-01,"(447, 5656)",3dm_32_447_5656_1_nw,2021-03-01,92 days
dop10rgbi_32_474_5665_1_nw_2021,2021-06-01,"(474, 5665)",3dm_32_474_5665_1_nw,2021-03-01,92 days
dop10rgbi_32_419_5662_1_nw_2021,2021-06-01,"(419, 5662)",3dm_32_419_5662_1_nw,2021-03-01,92 days
dop10rgbi_32_420_5662_1_nw_2021,2021-06-01,"(420, 5662)",3dm_32_420_5662_1_nw,2021-03-01,92 days
dop10rgbi_32_451_5683_1_nw_2021,2021-06-01,"(451, 5683)",3dm_32_451_5683_1_nw,2021-03-01,92 days
dop10rgbi_32_435_5662_1_nw_2021,2021-06-01,"(435, 5662)",3dm_32_435_5662_1_nw,2021-03-01,92 days
dop10rgbi_32_466_5683_1_nw_2021,2021-06-01,"(466, 5683)",3dm_32_466_5683_1_nw,2021-03-01,92 days
dop10rgbi_32_443_5644_1_nw_2021,2021-06-01,"(443, 5644)",3dm_32_443_5644_1_nw,2021-03-01,92 days
dop10rgbi_32_454_5637_1_nw_2021,2021-06-01,"(454, 5637)",3dm_32_454_5637_1_nw,2021-03-01,92 days
dop10rgbi_32_445_5631_1_nw_2021,2021-06-01,"(445, 5631)",3dm_32_445_5631_1_nw,2021-03-01,92 days
dop10rgbi_32_479_5664_1_nw_2021,2021-06-01,"(479, 5664)",3dm_32_479_5664_1_nw,2021-03-01,92 days
dop10rgbi_32_448_5638_1_nw_2021,2021-06-01,"(448, 5638)",3dm_32_448_5638_1_nw,2021-03-01,92 days
dop10rgbi_32_456_5682_1_nw_2021,2021-06-01,"(456, 5682)",3dm_32_456_5682_1_nw,2021-03-01,92 days
dop10rgbi_32_448_5643_1_nw_2021,2021-06-01,"(448, 5643)",3dm_32_448_5643_1_nw,2021-03-01,92 days
dop10rgbi_32_443_5639_1_nw_2021,2021-06-01,"(443, 5639)",3dm_32_443_5639_1_nw,2021-03-01,92 days
dop10rgbi_32_443_5640_1_nw_2021,2021-06-01,"(443, 5640)",3dm_32_443_5640_1_nw,2021-03-01,92 days
dop10rgbi_32_474_5661_1_nw_2021,2021-06-01,"(474, 5661)",3dm_32_474_5661_1_nw,2021-03-01,92 days
dop10rgbi_32_454_5642_1_nw_2021,2021-06-01,"(454, 5642)",3dm_32_454_5642_1_nw,2021-03-01,92 days
dop10rgbi_32_460_5641_1_nw_2021,2021-06-01,"(460, 5641)",3dm_32_460_5641_1_nw,2021-03-01,92 days
dop10rgbi_32_437_5641_1_nw_2021,2021-06-01,"(437, 5641)",3dm_32_437_5641_1_nw,2021-03-01,92 days
dop10rgbi_32_468_5662_1_nw_2021,2021-06-01,"(468, 5662)",3dm_32_468_5662_1_nw,2021-03-01,92 days
dop10rgbi_32_459_5641_1_nw_2021,2021-06-01,"(459, 5641)",3dm_32_459_5641_1_nw,2021-03-01,92 days
dop10rgbi_32_451_5687_1_nw_2021,2021-06-01,"(451, 5687)",3dm_32_451_5687_1_nw,2021-03-01,92 days
dop10rgbi_32_420_5666_1_nw_2021,2021-06-01,"(420, 5666)",3dm_32_420_5666_1_nw,2021-03-01,92 days
dop10rgbi_32_429_5663_1_nw_2021,2021-06-01,"(429, 5663)",3dm_32_429_5663_1_nw,2021-03-01,92 days
dop10rgbi_32_479_5660_1_nw_2021,2021-06-01,"(479, 5660)",3dm_32_479_5660_1_nw,2021-03-01,92 days
dop10rgbi_32_477_5692_1_nw_2021,2021-06-01,"(477, 5692)",3dm_32_477_5692_1_nw,2021-03-01,92 days
dop10rgbi_32_425_5661_1_nw_2021,2021-06-01,"(425, 5661)",3dm_32_425_5661_1_nw,2021-03-01,92 days
dop10rgbi_32_468_5666_1_nw_2021,2021-06-01,"(468, 5666)",3dm_32_468_5666_1_nw,2021-03-01,92 days
dop10rgbi_32_479_5678_1_nw_2021,2021-06-01,"(479, 5678)",3dm_32_479_5678_1_nw,2021-03-01,92 days
dop10rgbi_32_446_5671_1_nw_2021,2021-06-01,"(446, 5671)",3dm_32_446_5671_1_nw,2021-03-01,92 days
dop10rgbi_32_465_5654_1_nw_2021,2021-06-01,"(465, 5654)",3dm_32_465_5654_1_nw,2021-03-01,92 days
dop10rgbi_32_434_5633_1_nw_2021,2021-06-01,"(434, 5633)",3dm_32_434_5633_1_nw,2021-03-01,92 days
dop10rgbi_32_483_5691_1_nw_2021,2021-06-01,"(483, 5691)",3dm_32_483_5691_1_nw,2021-03-01,92 days
dop10rgbi_32_442_5657_1_nw_2021,2021-06-01,"(442, 5657)",3dm_32_442_5657_1_nw,2021-03-01,92 days
dop10rgbi_32_452_5670_1_nw_2021,2021-06-01,"(452, 5670)",3dm_32_452_5670_1_nw,2021-03-01,92 days
dop10rgbi_32_452_5669_1_nw_2021,2021-06-01,"(452, 5669)",3dm_32_452_5669_1_nw,2021-03-01,92 days
dop10rgbi_32_473_5678_1_nw_2021,2021-06-01,"(473, 5678)",3dm_32_473_5678_1_nw,2021-03-01,92 days
dop10rgbi_32_421_5648_1_nw_2021,2021-06-01,"(421, 5648)",3dm_32_421_5648_1_nw,2021-03-01,92 days
dop10rgbi_32_488_5690_1_nw_2021,2021-06-01,"(488, 5690)",3dm_32_488_5690_1_nw,2021-03-01,92 days
dop10rgbi_32_437_5645_1_nw_2021,2021-06-01,"(437, 5645)",3dm_32_437_5645_1_nw,2021-03-01,92 days
dop10rgbi_32_457_5668_1_nw_2021,2021-06-01,"(457, 5668)",3dm_32_457_5668_1_nw,2021-03-01,92 days
dop10rgbi_32_467_5679_1_nw_2021,2021-06-01,"(467, 5679)",3dm_32_467_5679_1_nw,2021-03-01,92 days
dop10rgbi_32_467_5680_1_nw_2021,2021-06-01,"(467, 5680)",3dm_32_467_5680_1_nw,2021-03-01,92 days
dop10rgbi_32_431_5659_1_nw_2021,2021-06-01,"(431, 5659)",3dm_32_431_5659_1_nw,2021-03-01,92 days
dop10rgbi_32_440_5632_1_nw_2021,2021-06-01,"(440, 5632)",3dm_32_440_5632_1_nw,2021-03-01,92 days
dop10rgbi_32_439_5632_1_nw_2021,2021-06-01,"(439, 5632)",3dm_32_439_5632_1_nw,2021-03-01,92 days
dop10rgbi_32_431_5660_1_nw_2021,2021-06-01,"(431, 5660)",3dm_32_431_5660_1_nw,2021-03-01,92 days
dop10rgbi_32_462_5681_1_nw_2021,2021-06-01,"(462, 5681)",3dm_32_462_5681_1_nw,2021-03-01,92 days
dop10rgbi_32_426_5647_1_nw_2021,2021-06-01,"(426, 5647)",3dm_32_426_5647_1_nw,2021-03-01,92 days
dop10rgbi_32_441_5661_1_nw_2021,2021-06-01,"(441, 5661)",3dm_32_441_5661_1_nw,2021-03-01,92 days
dop10rgbi_32_463_5667_1_nw_2021,2021-06-01,"(463, 5667)",3dm_32_463_5667_1_nw,2021-03-01,92 days
dop10rgbi_32_432_5646_1_nw_2021,2021-06-01,"(432, 5646)",3dm_32_432_5646_1_nw,2021-03-01,92 days
dop10rgbi_32_436_5658_1_nw_2021,2021-06-01,"(436, 5658)",3dm_32_436_5658_1_nw,2021-03-01,92 days
dop10rgbi_32_478_5677_1_nw_2021,2021-06-01,"(478, 5677)",3dm_32_478_5677_1_nw,2021-03-01,92 days
dop10rgbi_32_480_5678_1_nw_2021,2021-06-01,"(480, 5678)",3dm_32_480_5678_1_nw,2021-03-01,92 days
dop10rgbi_32_456_5678_1_nw_2021,2021-06-01,"(456, 5678)",3dm_32_456_5678_1_nw,2021-03-01,92 days
dop10rgbi_32_433_5640_1_nw_2021,2021-06-01,"(433, 5640)",3dm_32_433_5640_1_nw,2021-03-01,92 days
dop10rgbi_32_464_5661_1_nw_2021,2021-06-01,"(464, 5661)",3dm_32_464_5661_1_nw,2021-03-01,92 days
dop10rgbi_32_424_5667_1_nw_2021,2021-06-01,"(424, 5667)",3dm_32_424_5667_1_nw,2021-03-01,92 days
dop10rgbi_32_438_5620_1_nw_2021,2021-06-01,"(438, 5620)",3dm_32_438_5620_1_nw,2021-03-01,92 days
dop10rgbi_32_438_5619_1_nw_2021,2021-06-01,"(438, 5619)",3dm_32_438_5619_1_nw,2021-03-01,92 days
dop10rgbi_32_461_5687_1_nw_2021,2021-06-01,"(461, 5687)",3dm_32_461_5687_1_nw,2021-03-01,92 days
dop10rgbi_32_427_5641_1_nw_2021,2021-06-01,"(427, 5641)",3dm_32_427_5641_1_nw,2021-03-01,92 days
dop10rgbi_32_458_5662_1_nw_2021,2021-06-01,"(458, 5662)",3dm_32_458_5662_1_nw,2021-03-01,92 days
dop10rgbi_32_430_5666_1_nw_2021,2021-06-01,"(430, 5666)",3dm_32_430_5666_1_nw,2021-03-01,92 days
dop10rgbi_32_429_5666_1_nw_2021,2021-06-01,"(429, 5666)",3dm_32_429_5666_1_nw,2021-03-01,92 days
dop10rgbi_32_422_5642_1_nw_2021,2021-06-01,"(422, 5642)",3dm_32_422_5642_1_nw,2021-03-01,92 days
dop10rgbi_32_453_5663_1_nw_2021,2021-06-01,"(453, 5663)",3dm_32_453_5663_1_nw,2021-03-01,92 days
dop10rgbi_32_466_5686_1_nw_2021,2021-06-01,"(466, 5686)",3dm_32_466_5686_1_nw,2021-03-01,92 days
dop10rgbi_32_435_5665_1_nw_2021,2021-06-01,"(435, 5665)",3dm_32_435_5665_1_nw,2021-03-01,92 days
dop10rgbi_32_457_5683_1_nw_2021,2021-06-01,"(457, 5683)",3dm_32_457_5683_1_nw,2021-03-01,92 days
dop10rgbi_32_426_5662_1_nw_2021,2021-06-01,"(426, 5662)",3dm_32_426_5662_1_nw,2021-03-01,92 days
dop10rgbi_32_472_5685_1_nw_2021,2021-06-01,"(472, 5685)",3dm_32_472_5685_1_nw,2021-03-01,92 days
dop10rgbi_32_447_5664_1_nw_2021,2021-06-01,"(447, 5664)",3dm_32_447_5664_1_nw,2021-03-01,92 days
dop10rgbi_32_441_5664_1_nw_2021,2021-06-01,"(441, 5664)",3dm_32_441_5664_1_nw,2021-03-01,92 days
dop10rgbi_32_446_5663_1_nw_2021,2021-06-01,"(446, 5663)",3dm_32_446_5663_1_nw,2021-03-01,92 days
dop10rgbi_32_442_5665_1_nw_2021,2021-06-01,"(442, 5665)",3dm_32_442_5665_1_nw,2021-03-01,92 days
dop10rgbi_32_473_5686_1_nw_2021,2021-06-01,"(473, 5686)",3dm_32_473_5686_1_nw,2021-03-01,92 days
dop10rgbi_32_436_5666_1_nw_2021,2021-06-01,"(436, 5666)",3dm_32_436_5666_1_nw,2021-03-01,92 days
dop10rgbi_32_467_5687_1_nw_2021,2021-06-01,"(467, 5687)",3dm_32_467_5687_1_nw,2021-03-01,92 days
dop10rgbi_32_463_5682_1_nw_2021,2021-06-01,"(463, 5682)",3dm_32_463_5682_1_nw,2021-03-01,92 days
dop10rgbi_32_433_5639_1_nw_2021,2021-06-01,"(433, 5639)",3dm_32_433_5639_1_nw,2021-03-01,92 days
dop10rgbi_32_432_5661_1_nw_2021,2021-06-01,"(432, 5661)",3dm_32_432_5661_1_nw,2021-03-01,92 days
dop10rgbi_32_455_5688_1_nw_2021,2021-06-01,"(455, 5688)",3dm_32_455_5688_1_nw,2021-03-01,92 days
dop10rgbi_32_418_5668_1_nw_2021,2021-06-01,"(418, 5668)",3dm_32_418_5668_1_nw,2021-03-01,92 days
dop10rgbi_32_473_5667_1_nw_2021,2021-06-01,"(473, 5667)",3dm_32_473_5667_1_nw,2021-03-01,92 days
dop10rgbi_32_442_5646_1_nw_2021,2021-06-01,"(442, 5646)",3dm_32_442_5646_1_nw,2021-03-01,92 days
dop10rgbi_32_446_5682_1_nw_2021,2021-06-01,"(446, 5682)",3dm_32_446_5682_1_nw,2021-03-01,92 days
dop10rgbi_32_455_5635_1_nw_2021,2021-06-01,"(455, 5635)",3dm_32_455_5635_1_nw,2021-03-01,92 days
dop10rgbi_32_478_5666_1_nw_2021,2021-06-01,"(478, 5666)",3dm_32_478_5666_1_nw,2021-03-01,92 days
dop10rgbi_32_455_5638_1_nw_2021,2021-06-01,"(455, 5638)",3dm_32_455_5638_1_nw,2021-03-01,92 days
dop10rgbi_32_447_5645_1_nw_2021,2021-06-01,"(447, 5645)",3dm_32_447_5645_1_nw,2021-03-01,92 days
dop10rgbi_32_446_5685_1_nw_2021,2021-06-01,"(446, 5685)",3dm_32_446_5685_1_nw,2021-03-01,92 days
dop10rgbi_32_453_5644_1_nw_2021,2021-06-01,"(453, 5644)",3dm_32_453_5644_1_nw,2021-03-01,92 days
dop10rgbi_32_449_5636_1_nw_2021,2021-06-01,"(449, 5636)",3dm_32_449_5636_1_nw,2021-03-01,92 days
dop10rgbi_32_450_5636_1_nw_2021,2021-06-01,"(450, 5636)",3dm_32_450_5636_1_nw,2021-03-01,92 days
dop10rgbi_32_419_5655_1_nw_2021,2021-06-01,"(419, 5655)",3dm_32_419_5655_1_nw,2021-03-01,92 days
dop10rgbi_32_420_5655_1_nw_2021,2021-06-01,"(420, 5655)",3dm_32_420_5655_1_nw,2021-03-01,92 days
dop10rgbi_32_451_5676_1_nw_2021,2021-06-01,"(451, 5676)",3dm_32_451_5676_1_nw,2021-03-01,92 days
dop10rgbi_32_444_5637_1_nw_2021,2021-06-01,"(444, 5637)",3dm_32_444_5637_1_nw,2021-03-01,92 days
dop10rgbi_32_458_5643_1_nw_2021,2021-06-01,"(458, 5643)",3dm_32_458_5643_1_nw,2021-03-01,92 days
dop10rgbi_32_450_5690_1_nw_2021,2021-06-01,"(450, 5690)",3dm_32_450_5690_1_nw,2021-03-01,92 days
dop10rgbi_32_450_5689_1_nw_2021,2021-06-01,"(450, 5689)",3dm_32_450_5689_1_nw,2021-03-01,92 days
dop10rgbi_32_438_5638_1_nw_2021,2021-06-01,"(438, 5638)",3dm_32_438_5638_1_nw,2021-03-01,92 days
dop10rgbi_32_469_5660_1_nw_2021,2021-06-01,"(469, 5660)",3dm_32_469_5660_1_nw,2021-03-01,92 days
dop10rgbi_32_470_5660_1_nw_2021,2021-06-01,"(470, 5660)",3dm_32_470_5660_1_nw,2021-03-01,92 days
dop10rgbi_32_449_5690_1_nw_2021,2021-06-01,"(449, 5690)",3dm_32_449_5690_1_nw,2021-03-01,92 days
dop10rgbi_32_449_5689_1_nw_2021,2021-06-01,"(449, 5689)",3dm_32_449_5689_1_nw,2021-03-01,92 days
dop10rgbi_32_452_5684_1_nw_2021,2021-06-01,"(452, 5684)",3dm_32_452_5684_1_nw,2021-03-01,92 days
dop10rgbi_32_421_5663_1_nw_2021,2021-06-01,"(421, 5663)",3dm_32_421_5663_1_nw,2021-03-01,92 days
dop10rgbi_32_433_5621_1_nw_2021,2021-06-01,"(433, 5621)",3dm_32_433_5621_1_nw,2021-03-01,92 days
dop10rgbi_32_430_5663_1_nw_2021,2021-06-01,"(430, 5663)",3dm_32_430_5663_1_nw,2021-03-01,92 days
dop10rgbi_32_452_5662_1_nw_2021,2021-06-01,"(452, 5662)",3dm_32_452_5662_1_nw,2021-03-01,92 days
dop10rgbi_32_457_5661_1_nw_2021,2021-06-01,"(457, 5661)",3dm_32_457_5661_1_nw,2021-03-01,92 days
dop10rgbi_32_448_5646_1_nw_2021,2021-06-01,"(448, 5646)",3dm_32_448_5646_1_nw,2021-03-01,92 days
dop10rgbi_32_479_5667_1_nw_2021,2021-06-01,"(479, 5667)",3dm_32_479_5667_1_nw,2021-03-01,92 days
dop10rgbi_32_480_5667_1_nw_2021,2021-06-01,"(480, 5667)",3dm_32_480_5667_1_nw,2021-03-01,92 days
dop10rgbi_32_443_5647_1_nw_2021,2021-06-01,"(443, 5647)",3dm_32_443_5647_1_nw,2021-03-01,92 days
dop10rgbi_32_474_5668_1_nw_2021,2021-06-01,"(474, 5668)",3dm_32_474_5668_1_nw,2021-03-01,92 days
dop10rgbi_32_437_5634_1_nw_2021,2021-06-01,"(437, 5634)",3dm_32_437_5634_1_nw,2021-03-01,92 days
dop10rgbi_32_474_5679_1_nw_2021,2021-06-01,"(474, 5679)",3dm_32_474_5679_1_nw,2021-03-01,92 days
dop10rgbi_32_443_5658_1_nw_2021,2021-06-01,"(443, 5658)",3dm_32_443_5658_1_nw,2021-03-01,92 days
dop10rgbi_32_454_5634_1_nw_2021,2021-06-01,"(454, 5634)",3dm_32_454_5634_1_nw,2021-03-01,92 days
dop10rgbi_32_437_5648_1_nw_2021,2021-06-01,"(437, 5648)",3dm_32_437_5648_1_nw,2021-03-01,92 days
dop10rgbi_32_468_5669_1_nw_2021,2021-06-01,"(468, 5669)",3dm_32_468_5669_1_nw,2021-03-01,92 days
dop10rgbi_32_468_5670_1_nw_2021,2021-06-01,"(468, 5670)",3dm_32_468_5670_1_nw,2021-03-01,92 days
dop10rgbi_32_451_5680_1_nw_2021,2021-06-01,"(451, 5680)",3dm_32_451_5680_1_nw,2021-03-01,92 days
dop10rgbi_32_451_5679_1_nw_2021,2021-06-01,"(451, 5679)",3dm_32_451_5679_1_nw,2021-03-01,92 days
dop10rgbi_32_420_5658_1_nw_2021,2021-06-01,"(420, 5658)",3dm_32_420_5658_1_nw,2021-03-01,92 days
dop10rgbi_32_419_5658_1_nw_2021,2021-06-01,"(419, 5658)",3dm_32_419_5658_1_nw,2021-03-01,92 days
dop10rgbi_32_432_5649_1_nw_2021,2021-06-01,"(432, 5649)",3dm_32_432_5649_1_nw,2021-03-01,92 days
dop10rgbi_32_432_5650_1_nw_2021,2021-06-01,"(432, 5650)",3dm_32_432_5650_1_nw,2021-03-01,92 days
dop10rgbi_32_463_5671_1_nw_2021,2021-06-01,"(463, 5671)",3dm_32_463_5671_1_nw,2021-03-01,92 days
dop10rgbi_32_494_5692_1_nw_2021,2021-06-01,"(494, 5692)",3dm_32_494_5692_1_nw,2021-03-01,92 days
dop10rgbi_32_432_5635_1_nw_2021,2021-06-01,"(432, 5635)",3dm_32_432_5635_1_nw,2021-03-01,92 days
dop10rgbi_32_463_5656_1_nw_2021,2021-06-01,"(463, 5656)",3dm_32_463_5656_1_nw,2021-03-01,92 days
dop10rgbi_32_426_5651_1_nw_2021,2021-06-01,"(426, 5651)",3dm_32_426_5651_1_nw,2021-03-01,92 days
dop10rgbi_32_457_5672_1_nw_2021,2021-06-01,"(457, 5672)",3dm_32_457_5672_1_nw,2021-03-01,92 days
dop10rgbi_32_488_5693_1_nw_2021,2021-06-01,"(488, 5693)",3dm_32_488_5693_1_nw,2021-03-01,92 days
dop10rgbi_32_448_5635_1_nw_2021,2021-06-01,"(448, 5635)",3dm_32_448_5635_1_nw,2021-03-01,92 days
dop10rgbi_32_421_5641_1_nw_2021,2021-06-01,"(421, 5641)",3dm_32_421_5641_1_nw,2021-03-01,92 days
dop10rgbi_32_454_5645_1_nw_2021,2021-06-01,"(454, 5645)",3dm_32_454_5645_1_nw,2021-03-01,92 days
dop10rgbi_32_437_5637_1_nw_2021,2021-06-01,"(437, 5637)",3dm_32_437_5637_1_nw,2021-03-01,92 days
dop10rgbi_32_426_5640_1_nw_2021,2021-06-01,"(426, 5640)",3dm_32_426_5640_1_nw,2021-03-01,92 days
dop10rgbi_32_426_5639_1_nw_2021,2021-06-01,"(426, 5639)",3dm_32_426_5639_1_nw,2021-03-01,92 days
dop10rgbi_32_431_5667_1_nw_2021,2021-06-01,"(431, 5667)",3dm_32_431_5667_1_nw,2021-03-01,92 days
dop10rgbi_32_462_5688_1_nw_2021,2021-06-01,"(462, 5688)",3dm_32_462_5688_1_nw,2021-03-01,92 days
dop10rgbi_32_439_5621_1_nw_2021,2021-06-01,"(439, 5621)",3dm_32_439_5621_1_nw,2021-03-01,92 days
dop10rgbi_32_440_5621_1_nw_2021,2021-06-01,"(440, 5621)",3dm_32_440_5621_1_nw,2021-03-01,92 days
dop10rgbi_32_463_5660_1_nw_2021,2021-06-01,"(463, 5660)",3dm_32_463_5660_1_nw,2021-03-01,92 days
