Kachelname_img,Aktualitaet_img,coords,Kachelname_pc,Aktualitaet_pc,diff
dop10rgbi_32_372_5640_1_nw_2021,2021-06-01,"(372, 5640)",3dm_32_372_5640_1_nw,2022-01-01,214 days
dop10rgbi_32_391_5639_1_nw_2021,2021-06-01,"(391, 5639)",3dm_32_391_5639_1_nw,2022-01-01,214 days
dop10rgbi_32_363_5610_1_nw_2021,2021-05-01,"(363, 5610)",3dm_32_363_5610_1_nw,2021-12-01,214 days
dop10rgbi_32_356_5605_1_nw_2021,2021-05-01,"(356, 5605)",3dm_32_356_5605_1_nw,2021-12-01,214 days
dop10rgbi_32_362_5641_1_nw_2021,2021-06-01,"(362, 5641)",3dm_32_362_5641_1_nw,2022-01-01,214 days
dop10rgbi_32_370_5608_1_nw_2021,2021-05-01,"(370, 5608)",3dm_32_370_5608_1_nw,2021-12-01,214 days
dop10rgbi_32_366_5613_1_nw_2021,2021-05-01,"(366, 5613)",3dm_32_366_5613_1_nw,2021-12-01,214 days
dop10rgbi_32_370_5610_1_nw_2021,2021-05-01,"(370, 5610)",3dm_32_370_5610_1_nw,2021-12-01,214 days
dop10rgbi_32_360_5625_1_nw_2021,2021-06-01,"(360, 5625)",3dm_32_360_5625_1_nw,2022-01-01,214 days
dop10rgbi_32_356_5638_1_nw_2021,2021-06-01,"(356, 5638)",3dm_32_356_5638_1_nw,2022-01-01,214 days
dop10rgbi_32_385_5624_1_nw_2021,2021-06-01,"(385, 5624)",3dm_32_385_5624_1_nw,2022-01-01,214 days
dop10rgbi_32_368_5608_1_nw_2021,2021-05-01,"(368, 5608)",3dm_32_368_5608_1_nw,2021-12-01,214 days
dop10rgbi_32_361_5634_1_nw_2021,2021-06-01,"(361, 5634)",3dm_32_361_5634_1_nw,2022-01-01,214 days
dop10rgbi_32_359_5625_1_nw_2021,2021-06-01,"(359, 5625)",3dm_32_359_5625_1_nw,2022-01-01,214 days
dop10rgbi_32_393_5625_1_nw_2021,2021-06-01,"(393, 5625)",3dm_32_393_5625_1_nw,2022-01-01,214 days
