Kachelname,Erfassungsmethode,Aktualitaet,Bildflugnummer,Kamera_Sensor,Bodenpixelgroesse,Spektralkanaele,Koordinatenreferenzsystem_Lage,Koordinatenreferenzsystem_Hoehe,Bezugsflaeche,Koordinatenursprung_East,Koordinatenursprung_North,Anzahl_Spalten,Anzahl_Zeilen,Farbtiefe,Standardabweichung,Dateiformat,Hintergrund,Quelldatenqualitaet,Kompression,Komprimierung,Belaubungszustand,Bemerkungen
dop10rgbi_32_387_5793_1_nw_2022,0,2022-02-23,1376/22 Ahaus Rheine,UCEM3-431S41091X314298-f100_UCE-M3,10,RGBI,25832,7837,bDOM,387000,5793000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",1,keine
dop10rgbi_32_435_5700_1_nw_2022,0,2022-02-28,1381/22 Soest,UCEM3-431S71678X911005-f100_UCE-M3,10,RGBI,25832,7837,bDOM,435000,5700000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",1,keine
dop10rgbi_32_477_5724_1_nw_2020,0,2020-03-22,1337/20 Paderborn,UCEM3-431S71678X_UCE-M3,10,RGBI,25832,7837,bDOM,477000,5724000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",1,keine
dop10rgbi_32_407_5774_1_nw_2022,0,2022-03-08,1377/22 Greven Ibbenbüren,UCEM3-431S91898X119229-f100_UCE-M3,10,RGBI,25832,7837,bDOM,407000,5774000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",1,keine
dop10rgbi_32_379_5653_1_nw_2021,0,2021-06-01,1362/21,DMCIII-27514_DMCIII,10,RGBI,25832,7837,bDOM,379000,5653000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",3,keine
dop10rgbi_32_314_5666_1_nw_2021,0,2021-02-20,1354/21 Mönchengladbach- Würselen,UCEM3-431S72402X_UCE-M3,10,RGBI,25832,7837,bDOM,314000,5666000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",1,keine
dop10rgbi_32_322_5734_1_nw_2022,0,2022-07-12,1383/22 RVR West,UrbanMapper2-12-0101_UrbanMapper2,10,RGBI,25832,7837,bDOM,322000,5734000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",3,keine
dop10rgbi_32_436_5664_1_nw_2021,0,2021-06-14,1359/21 Iserlohn Attendorn,UCEM3-431S71678X_UCE-M3,10,RGBI,25832,7837,bDOM,436000,5664000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",3,keine
dop10rgbi_32_341_5586_1_nw_2021,0,2021-02-25,1357/21 Euskirchen Blankenheim,DMCIII-27532_DMCIII,10,RGBI,25832,7837,bDOM,341000,5586000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",1,keine
dop10rgbi_32_437_5733_1_nw_2022,0,2022-03-03,1379/22 Warendorf,DMCIII-27532_DMCIII,10,RGBI,25832,7837,bDOM,437000,5733000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",1,keine
dop10rgbi_32_373_5614_1_nw_2021,0,2021-06-02,1361/21,UCEM3-431S51194X_UCE-M3,10,RGBI,25832,7837,bDOM,373000,5614000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",3,keine
dop10rgbi_32_378_5707_1_nw_2021,0,2021-03-29,1364/21 Dortmund Hamm,UrbanMapper2-12-0101_UrbanMapper2,10,RGBI,25832,7837,bDOM,378000,5707000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",1,keine
dop10rgbi_32_431_5623_1_nw_2021,0,2021-06-01,1363/21 Siegen,UCEM3-431S62713X_UCE-M3,10,RGBI,25832,7837,bDOM,431000,5623000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",3,keine
dop10rgbi_32_467_5741_1_nw_2022,0,2022-06-15,1388/22 Paderborn,DMCIII-27532_DMCIII,10,RGBI,25832,7837,bDOM,467000,5741000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",3,keine
dop10rgbi_32_501_5753_1_nw_2022,0,2022-06-18,1387/22 Herford Detmold,UCEp-1-41317592-f100_UCEp,10,RGBI,25832,7837,bDOM,501000,5753000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",3,keine
dop10rgbi_32_410_5648_1_nw_2021,0,2021-06-01,1362/21,DMCIII-27514_DMCIII,10,RGBI,25832,7837,bDOM,410000,5648000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",3,keine
